contract,date,roll_flag,daily_close,daily_return,daily_mean_vpin,daily_max_vpin,daily_vpin_slope,daily_vpin_zscore,daily_vpin_percentile,future_return,signal_raw,position,vpin_high_flag,slope_positive_flag
T,2015-09-14,False,96.41,0.0016103059581320522,0.4644535918798678,0.5008645507712284,-0.04549585832721388,-0.9674405246773167,0.2,0.002541230162846242,1.0,1.0,False,False
T,2015-09-15,False,96.655,0.002541230162846242,0.5665953784015201,0.6199818265632376,-0.004013046529049791,0.787930359217996,0.7833333333333333,-0.00124152915006992,1.0,1.0,False,False
T,2015-09-16,False,96.535,-0.00124152915006992,0.5439676779453033,0.6389444962621835,0.0036056676896277172,0.40375875512953674,0.6333333333333333,-0.0017610193194178558,1.0,1.0,False,True
T,2015-09-17,False,96.365,-0.0017610193194178558,0.5394790332696769,0.6208873933008662,0.02300068924332549,0.3159059626331175,0.6,0.00031131634929693064,1.0,1.0,False,True
T,2015-09-18,False,96.395,0.00031131634929693064,0.6011792895651042,0.657958698156345,0.024633505023862978,1.3403077695275836,0.9666666666666667,0.00020747964106027084,0.0,1.0,True,True
T,2015-09-21,False,96.415,0.00020747964106027084,0.5525045368723831,0.620383037219214,0.0029029928561526974,0.5048963072893031,0.6666666666666666,-0.001607633666960595,1.0,0.0,False,True
T,2015-09-22,False,96.26,-0.001607633666960595,0.6228329119920494,0.6910219730400007,0.017075597169619827,1.6325140962467857,0.9833333333333333,0.0004570953667151212,0.0,1.0,True,True
T,2015-09-23,False,96.304,0.0004570953667151212,0.5785145497525407,0.6834617293405756,0.00997246553926726,0.8703209375610553,0.8166666666666667,0.002190978567868429,0.0,0.0,True,True
T,2015-09-24,False,96.515,0.002190978567868429,0.5613138738179038,0.6323278278394507,-0.005372081861424338,0.5822784617345593,0.6833333333333333,0.0015541625654043045,1.0,0.0,False,False
T,2015-09-25,False,96.665,0.0015541625654043045,0.6447340511013856,0.6918700204874806,0.012293999028385938,1.8779604051798178,0.9833333333333333,0.002793151606062194,0.0,1.0,True,True
T,2015-09-28,False,96.935,0.002793151606062194,0.5940327977456716,0.6546235046235344,0.0008619272856089433,1.0579806755354384,0.9,0.0030432764223449205,0.0,0.0,True,True
T,2015-09-29,False,97.23,0.0030432764223449205,0.5946812643571846,0.6875563741097724,0.006505235313705571,1.06691103877147,0.9166666666666666,0.0008742157770234016,0.0,0.0,True,True
T,2015-09-30,False,97.315,0.0008742157770234016,0.5219982386158047,0.557047725864805,-0.012868405714839904,-0.11530841517033848,0.38333333333333336,-0.0004624158660021527,1.0,0.0,False,False
T,2015-10-08,False,97.27,-0.0004624158660021527,0.45243226468436765,0.538743192703025,-0.04566381319639028,-1.2074826860531676,0.11666666666666667,0.008841369384188447,1.0,1.0,False,False
T,2015-10-09,False,98.13,0.008841369384188447,0.673647665630089,0.7303060017661511,0.0016980736096017857,2.2010899036057268,1.0,0.0005604809945991551,0.0,1.0,True,True
T,2015-10-12,False,98.185,0.0005604809945991551,0.5524578110611325,0.6367318395293089,0.006720252042218,0.3446028803412566,0.6,0.005448897489433113,1.0,0.0,False,True
T,2015-10-13,False,98.72,0.005448897489433113,0.5199407981127204,0.6687113682925895,0.009591066537059618,-0.18913909294456113,0.38333333333333336,-5.064829821710415e-05,1.0,1.0,False,True
T,2015-10-14,False,98.715,-5.064829821710415e-05,0.6111784523232382,0.7134668472414493,0.016378550776037247,1.2268715589052301,0.9333333333333333,-0.0018740819530973507,0.0,1.0,True,True
T,2015-10-15,False,98.53,-0.0018740819530973507,0.4800575912023105,0.529655151929458,-0.032845950759345134,-0.8009117348885916,0.25,-0.004668628844006983,1.0,0.0,False,False
T,2015-10-16,False,98.07,-0.004668628844006983,0.5342342238737303,0.5989636603913189,-0.007633038128521419,0.05171085224585287,0.5,0.0015295197308045072,1.0,1.0,False,False
T,2015-10-19,False,98.22,0.0015295197308045072,0.5170407811343727,0.572689684328137,-0.008274426240620336,-0.21804899446629486,0.38333333333333336,0.009621258399511445,1.0,1.0,False,False
T,2015-10-20,False,99.165,0.009621258399511445,0.5650867185696502,0.6242554385430443,-0.005520027757511381,0.5100272852441027,0.6666666666666666,-0.0028235768668380956,1.0,1.0,False,False
T,2015-10-21,False,98.885,-0.0028235768668380956,0.6357256451652857,0.6658984035767797,0.03421886026218703,1.5574297138682576,0.95,0.004095666683521237,0.0,1.0,True,True
